索引,职位,公司,薪酬,城市,链接,职位要求
CC000212281J90260563,智能语义软件工程师（java或python）-杭州,恒生电子股份有限公司 ,职位月薪：15001-20000元/月,地点：杭州,http://jobs.zhaopin.com/000212281260563.htm, 岗位职责：  1.负责前端产品开发、语义服务接口研发和维护等；  2.负责公司语言模型数据预处理、数据清洗、语料数据库维护等；  3.负责其他智能语义产品相关开发和维护工作     任职要求：  1.本科及以上学历，计算机、数学等相关专业  2.两年以上软件开发经验  3.熟练掌握Pytho...
CZ461622130J00025178,python开发,杭州声讯网络科技有限公司 ,职位月薪：20000-40000元/月,地点：杭州,http://jobs.zhaopin.com/CZ461622130J00025178206.htm," 岗位职责:      负责公司产品的服务端设计、开发，编写设计文档。           岗位要求:     3年以上的Python实际项目开发经验     熟悉 Flask等任一流行Web开发框架     熟悉 SQLAlchemy,Mongoengine或其他ORM框架..."
CC661816027J90250126,Python工程师,北京淘乐创想科技有限公司驻杭州办事处 ,职位月薪：5000-10000元/月,地点：杭州,http://jobs.zhaopin.com/661816027250126.htm, 职位描述：    负责web端的相关业务开发和维护；    协助参与产品数据中心相关服务的架构、优化、扩展、维护，数据相关应用模块的开发。       职位要求：     1年左右Python开发经验，熟悉Python常用模块和第三方模块、框架；    熟悉MYSQL、...
CC441285115J90250130,python开发工程师,杭州聚信会计师事务所(普通合伙) ,职位月薪：6001-8000元/月,地点：杭州-上城区,http://jobs.zhaopin.com/441285115250130.htm, 岗位职责：软件开发     任职要求：熟悉python                   一年以上工作经验                  能吃苦耐劳                  能适应较强的工作压力                  学习能力强，了解相关前沿技术     ...
CC245321388J90250060,Python开发工程师,杭州飞享数据技术有限公司 ,职位月薪：15000-30000元/月,地点：杭州,http://jobs.zhaopin.com/245321388250060.htm, 岗位职责：  1.边缘计算平台核心业务的设计、开发和优化；  2.维护和优化云端运维支撑系统；  3.大数据分析平台的开发和维护；  职位要求：   1.3年以上python的实际项目开发经验；  2.熟练使用Python标准库和流行的第三方库，掌握Flask/Djan...
CC521160184J90251822,Python开发工程师,上海仁教信息技术有限公司 ,职位月薪：15001-20000元/月,地点：杭州,http://jobs.zhaopin.com/521160184251822.htm, 北风网（http://www.ibeifeng.com/)国内领先的IT技能培训网站，主要课程方向包括: 大数据、人工智能、数据分析等，技术交流群:436439688      岗位描述：          1、参与开发和维护后端 Python 服务框架； 2、参与开发和维护数据统计...
CC000163976J90261637,Python开发-杭州-02138,博彦科技股份有限公司 ,职位月薪：10000-18000元/月,地点：杭州,http://jobs.zhaopin.com/000163976261637.htm, 岗位职责：  负责阿里云项目的python开发工作  职位描述：  1）需求调研、需求分析与系统设计，撰写相关文档；  2）系统开发、优化及维护。  任职要求：  1、2年以上python开发能力；   2、熟悉 Linux 系统及 DNS/YUM/NTP/impi的优...
CC120975588J90257769,YF-系统开发工程师(Python/Django)-01,杭州海康威视数字技术股份有限公司 ,职位月薪：10001-15000元/月,地点：杭州,http://jobs.zhaopin.com/120975588257769.htm," 岗位描述: 从事WEB系统开发（基于Python、Django）  岗位要求: 1、本科以上学历，计算机、电子、数学等计算机相关专业，2年以上软件开发工作经验； 2、精通Python编程，熟悉使用Python标准库和流行第三方库，有tornado, twi..."
CC146908425J90254703,Python 开发工程师,新华三技术有限公司 ,职位月薪：15000-25000元/月,地点：杭州,http://jobs.zhaopin.com/146908425254703.htm, 岗位职责：  - 负责基于 Django 的 RESTful API 系统开发  - 负责虚拟化相关的后端服务开发  - 负责存储后端服务开发  任职要求：  - 全日制本科以上学历，至少 2 年以上 Python 开发经验  - 熟悉 Django、Flask 等至少一种 Web ...
CC582487124J90250136,高级后端研发Python,杭州雅顾科技有限公司 ,职位月薪：16000-20000元/月,地点：杭州,http://jobs.zhaopin.com/582487124250136.htm,"...python中的2项，并有相应工程经验，能上手列表中的其他语言  • 大规模访问的web系统设计经验  • 复杂业务系统的分解能力，复杂问题的抽象能力  • 熟悉常规设计模式，SOLID原则     岗位职责  • 负责目睹关键基础服务的设计,实施  • 推进关键项目稳定进行  ..."
CC582487124J90250137,中级后端研发Python（基础架构）,杭州雅顾科技有限公司 ,职位月薪：10000-15000元/月,地点：杭州,http://jobs.zhaopin.com/582487124250137.htm,...python 中的 2 项，能上手列表中的其他语言  * 熟悉常见业务功能如何实现  * 熟悉 linux 操作系统(系统信息、日志、权限、部署等)     岗位职责  * 负责目睹基础服务的研发维护  * 负责目睹流媒体应用的研发     欢迎来杭州发展的小伙伴~
CC582487124J90250120,高级后端研发工程师python/golang/php,杭州雅顾科技有限公司 ,职位月薪：16000-20000元/月,地点：杭州-西湖区,http://jobs.zhaopin.com/582487124250120.htm,"...python中的2项，并有相应工程经验，能上手列表中的其他语言  • 大规模访问的web系统设计经验  • 复杂业务系统的分解能力，复杂问题的抽象能力  • 熟悉常规设计模式，SOLID原则     岗位职责  • 负责目睹关键基础服务的设计,实施  • 推进关键项目稳定进行  ..."
CC242351419J90254707,python开发工程师,北京启明星辰信息安全技术有限公司 ,职位月薪：10000-20000元/月,地点：杭州,http://jobs.zhaopin.com/242351419254707.htm, 岗位职责：  负责elasticseach、slor应用的开发、优化及维护     任职要求：  1、1年以上python开发经验，会用python常用模块和第三方模块、框架；  2、了解mysql、oracle等关系型数据库和常用SQL；  3、了解Linux、She...
CC582487124J90250135,中级后端研发Python,杭州雅顾科技有限公司 ,职位月薪：12000-15000元/月,地点：杭州,http://jobs.zhaopin.com/582487124250135.htm,...python中的2项，能上手列表中的其他语言     • 熟悉常见业务功能如何实现     • 熟悉linux操作系统(系统信息、日志、权限、部署等)           岗位职责     • 负责目睹基础服务的研发维护     • 负责目睹流媒体应用的研发     优秀的A+团...
CC478361539J90250174,Python开发工程师（桐乡）,浙江九州量子信息技术股份有限公司 ,职位月薪：7000-13000元/月,地点：杭州,http://jobs.zhaopin.com/478361539250174.htm," 岗位职责：  1、根据项目计划, 完成项目编码工作;  2、参与需求的讨论与整理;  3、参与项目进度计划的讨论与制定;  任职要求：  1、大学本科学历，计算机、数学及相关专业；  2.2年以上python开发经验，熟练掌握python标准库和第三方库；  3.熟练掌..."
